Longitude,Latitude,Year,Month,Avg Capacity (1000 m3/d),Avg Throughput (1000 m3/d),Avg Throughput (GJ/d)
-114.74,51.9475,2007,2,187479.0,171895.16179518827,6497637.115858116
-114.74,51.9475,2007,3,187479.0,167273.95730009998,6322955.58594378
-114.74,51.9475,2007,4,189061.0,164089.80068580425,6202594.4659234
-114.74,51.9475,2007,5,189061.0,160005.38500617567,6048203.553233441
-114.74,51.9475,2007,6,189061.0,163410.7661558435,6176926.960690883
-114.74,51.9475,2007,7,189061.0,156804.72681186858,5927218.673488633
-114.74,51.9475,2007,8,189061.0,169062.39391337836,6390558.489925702
-114.74,51.9475,2007,9,189061.0,154189.73797715476,5828372.09553645
-114.74,51.9475,2007,10,189061.0,157610.45385784126,5957675.155826399
-114.74,51.9475,2007,11,187479.0,151114.08695067785,5712112.486735622
-114.74,51.9475,2007,12,187479.0,158486.49201027406,5990789.3979883585
-114.74,51.9475,2008,1,187479.0,158313.61712510922,5984254.727329128
-114.74,51.9475,2008,2,187479.0,161465.5040492344,6103396.05306106
-114.74,51.9475,2008,3,187479.0,158464.7197708602,5989966.407338516
-114.74,51.9475,2008,4,189061.0,157800.58153102722,5964861.981872828
-114.74,51.9475,2008,5,189061.0,149261.3764691476,5642080.0305337785
