Date,Value,labels
2017-06-01,8838860700,2017-06-01T00:00:00
2017-07-01,9262628300,2017-07-01T00:00:00
2017-08-01,8968245300,2017-08-01T00:00:00
2017-09-01,8870063200,2017-09-01T00:00:00
2017-10-01,9143094400,2017-10-01T00:00:00
2017-11-01,9217832900,2017-11-01T00:00:00
2017-12-01,9544256300,2017-12-01T00:00:00
2018-01-01,9491330700,2018-01-01T00:00:00
2018-02-01,8532434000,2018-02-01T00:00:00
2018-03-01,9505107100,2018-03-01T00:00:00
2018-04-01,9064061100,2018-04-01T00:00:00
2018-05-01,9002809000,2018-05-01T00:00:00
2018-06-01,8641039600,2018-06-01T00:00:00
2018-07-01,9063169900,2018-07-01T00:00:00
2018-08-01,9210779400,2018-08-01T00:00:00
2018-09-01,8782362900,2018-09-01T00:00:00
2018-10-01,9136385700,2018-10-01T00:00:00
2018-11-01,8990459900,2018-11-01T00:00:00
2018-12-01,9486306000,2018-12-01T00:00:00
2019-01-01,9253893800,2019-01-01T00:00:00
2019-02-01,7981058100,2019-02-01T00:00:00
2019-03-01,9223366400,2019-03-01T00:00:00
2019-04-01,8877068800,2019-04-01T00:00:00
2019-05-01,8937726600,2019-05-01T00:00:00
2019-06-01,8352580300,2019-06-01T00:00:00
2019-07-01,8737534900,2019-07-01T00:00:00
2019-08-01,8702985600,2019-08-01T00:00:00
2019-09-01,8263800200,2019-09-01T00:00:00
2019-10-01,8818772900,2019-10-01T00:00:00
2019-11-01,8749348900,2019-11-01T00:00:00
2019-12-01,9157734000,2019-12-01T00:00:00
2020-01-01,8692327800,2020-01-01T00:00:00
2020-02-01,8359921400,2020-02-01T00:00:00
2020-03-01,8779060200,2020-03-01T00:00:00
2020-04-01,8314961900,2020-04-01T00:00:00
2020-05-01,8397966800,2020-05-01T00:00:00
2020-06-01,8048516199,2020-06-01T00:00:00
2020-07-01,8263358899,2020-07-01T00:00:00
2020-08-01,8286585600,2020-08-01T00:00:00
2020-09-01,7894861600,2020-09-01T00:00:00
2020-10-01,8525690900,2020-10-01T00:00:00
2020-11-01,8409946300,2020-11-01T00:00:00
2020-12-01,8747490200,2020-12-01T00:00:00
2021-01-01,8678140300,2021-01-01T00:00:00
2021-02-01,7596222700,2021-02-01T00:00:00
2021-03-01,8859956200,2021-03-01T00:00:00
2021-04-01,8620962500,2021-04-01T00:00:00
2021-05-01,8749015900,2021-05-01T00:00:00
2021-06-01,8382386300,2021-06-01T00:00:00
2021-07-01,8845650800,2021-07-01T00:00:00
2021-08-01,8976377300,2021-08-01T00:00:00
2021-09-01,8522006000,2021-09-01T00:00:00
2021-10-01,9007992400,2021-10-01T00:00:00
2021-11-01,8885024500,2021-11-01T00:00:00
2021-12-01,8886208200,2021-12-01T00:00:00
2022-01-01,8974450500,2022-01-01T00:00:00
2022-02-01,8312777399,2022-02-01T00:00:00
2022-03-01,9395985900,2022-03-01T00:00:00
2022-04-01,9313379500,2022-04-01T00:00:00
2022-05-01,9360701600,2022-05-01T00:00:00
2022-06-01,8947685999,2022-06-01T00:00:00
