Date,Value,labels,A,B,C,D,E,prod_%_diff,Month,Affected_Plants_Count
2010-09-01,8953293400,2010-09-01T00:00:00,16,8,4,1,11,-6.606506802,2010-09,17
2010-10-01,9294761500,2010-10-01T00:00:00,36,28,7,3,0,3.81388261,2010-10,62
2010-11-01,8801163600,2010-11-01T00:00:00,20,15,4,0,0,-5.310495595,2010-11,39
2010-12-01,9180499900,2010-12-01T00:00:00,8,6,3,0,0,4.310069864,2010-12,0
2011-01-01,9074097300,2011-01-01T00:00:00,10,7,3,0,0,-1.159006603,2011-01,29
2011-02-01,8251698600,2011-02-01T00:00:00,22,9,3,0,0,-9.063146149,2011-02,28
2011-03-01,9091712400,2011-03-01T00:00:00,33,12,3,0,0,10.17988951,2011-03,18
2011-04-01,9104141800,2011-04-01T00:00:00,111,54,4,1,0,0.13671132,2011-04,31
2011-05-01,9051266800,2011-05-01T00:00:00,176,189,28,13,21,-0.580779618,2011-05,273
2011-06-01,8796907500,2011-06-01T00:00:00,83,26,8,6,27,-2.810206633,2011-06,102
2011-07-01,9156216300,2011-07-01T00:00:00,141,26,5,2,19,4.084489919,2011-07,77
2011-08-01,9059126600,2011-08-01T00:00:00,133,26,5,0,12,-1.060369227,2011-08,69
2011-09-01,8632952800,2011-09-01T00:00:00,102,19,6,0,12,-4.704358586,2011-09,89
2011-10-01,8914243200,2011-10-01T00:00:00,41,12,8,0,7,3.25833358,2011-10,53
2011-11-01,8859161600,2011-11-01T00:00:00,31,9,3,0,7,-0.617905511,2011-11,47
2011-12-01,9286980100,2011-12-01T00:00:00,19,7,1,0,6,4.829108208,2011-12,3
2012-01-01,8873359200,2012-01-01T00:00:00,28,7,1,0,6,-4.453771792,2012-01,42
2012-02-01,8348839900,2012-02-01T00:00:00,45,12,1,0,3,-5.91116947,2012-02,26
2012-03-01,8957755000,2012-03-01T00:00:00,66,13,1,1,3,7.293409711,2012-03,44
2012-04-01,8583941100,2012-04-01T00:00:00,104,55,11,0,3,-4.173075732,2012-04,85
2012-05-01,8701638900,2012-05-01T00:00:00,304,141,17,4,11,1.371139418,2012-05,259
2012-06-01,8190368900,2012-06-01T00:00:00,101,33,7,3,10,-5.875559833,2012-06,96
2012-07-01,8399085600,2012-07-01T00:00:00,258,110,25,8,27,2.548318672,2012-07,155
2012-08-01,8344328600,2012-08-01T00:00:00,233,53,9,10,26,-0.651940016,2012-08,164
2012-09-01,8029030100,2012-09-01T00:00:00,141,32,5,6,23,-3.778596399,2012-09,106
2012-10-01,8446202900,2012-10-01T00:00:00,39,17,4,4,15,5.195805655,2012-10,46
2012-11-01,8290892300,2012-11-01T00:00:00,9,7,1,3,15,-1.838821561,2012-11,2
2012-12-01,8410643500,2012-12-01T00:00:00,6,6,1,3,13,1.444370469,2012-12,0
2013-01-01,8740099100,2013-01-01T00:00:00,11,5,1,2,5,3.91712715,2013-01,9
2013-02-01,7962578700,2013-02-01T00:00:00,18,7,1,2,5,-8.896013547,2013-02,22
2013-03-01,8526284300,2013-03-01T00:00:00,23,7,1,1,4,7.079435209,2013-03,15
2013-04-01,8364788000,2013-04-01T00:00:00,41,12,3,1,4,-1.894099403,2013-04,40
2013-05-01,8526197000,2013-05-01T00:00:00,351,144,20,9,6,1.929624516,2013-05,274
2013-06-01,8083923000,2013-06-01T00:00:00,103,35,8,9,8,-5.187236467,2013-06,72
2013-07-01,8421280600,2013-07-01T00:00:00,146,42,14,9,8,4.173191655,2013-07,90
2013-08-01,8435552800,2013-08-01T00:00:00,145,33,7,4,4,0.169477787,2013-08,116
2013-09-01,7980098100,2013-09-01T00:00:00,128,7,1,0,1,-5.399227659,2013-09,68
2013-10-01,8453306300,2013-10-01T00:00:00,27,8,2,0,1,5.929854421,2013-10,38
2013-11-01,8178584100,2013-11-01T00:00:00,22,6,2,0,0,-3.249878689,2013-11,24
2013-12-01,8461676700,2013-12-01T00:00:00,19,4,2,0,0,3.461388873,2013-12,4
2014-01-01,8572787800,2014-01-01T00:00:00,25,7,2,0,0,1.313109729,2014-01,32
2014-02-01,7660218400,2014-02-01T00:00:00,21,5,1,0,0,-10.64495496,2014-02,3
2014-03-01,8588898900,2014-03-01T00:00:00,30,7,1,0,0,12.12342066,2014-03,18
2014-04-01,8512610886,2014-04-01T00:00:00,63,36,9,2,0,-0.888216463,2014-04,74
2014-05-01,8545923100,2014-05-01T00:00:00,247,101,18,2,1,0.391327813,2014-05,169
2014-06-01,8047224700,2014-06-01T00:00:00,185,86,15,1,1,-5.835512374,2014-06,151
2014-07-01,8692806300,2014-07-01T00:00:00,210,100,24,1,5,8.022412994,2014-07,176
2014-08-01,8776658000,2014-08-01T00:00:00,212,64,19,2,6,0.964610243,2014-08,193
2014-09-01,8184310800,2014-09-01T00:00:00,105,18,5,2,5,-6.749120223,2014-09,94
2014-10-01,9000472000,2014-10-01T00:00:00,36,15,7,2,4,9.972265472,2014-10,63
2014-11-01,8653529300,2014-11-01T00:00:00,29,11,4,2,4,-3.85471673,2014-11,38
2014-12-01,9153477100,2014-12-01T00:00:00,18,7,2,0,4,5.777386112,2014-12,4
2015-01-01,9016730800,2015-01-01T00:00:00,23,8,1,0,4,-1.493927373,2015-01,4
2015-02-01,8247773500,2015-02-01T00:00:00,30,7,1,0,4,-8.528116421,2015-02,7
2015-03-01,9090941400,2015-03-01T00:00:00,49,17,3,0,4,10.22297593,2015-03,80
2015-04-01,8848310212,2015-04-01T00:00:00,152,123,21,1,4,-2.668933583,2015-04,180
2015-05-01,8770126100,2015-05-01T00:00:00,314,141,29,13,15,-0.883605006,2015-05,293
2015-06-01,8510411400,2015-06-01T00:00:00,244,150,47,26,55,-2.961356508,2015-06,191
2015-07-01,8751321400,2015-07-01T00:00:00,224,105,35,29,58,2.83076797,2015-07,241
2015-08-01,8602924900,2015-08-01T00:00:00,134,30,8,16,44,-1.69570392,2015-08,142
2015-09-01,8347117600,2015-09-01T00:00:00,43,31,3,1,28,-2.97349219,2015-09,44
2015-10-01,8756993300,2015-10-01T00:00:00,49,34,6,0,27,4.910386071,2015-10,54
2015-11-01,8656328600,2015-11-01T00:00:00,39,14,4,1,27,-1.149534967,2015-11,38
2015-12-01,9134593000,2015-12-01T00:00:00,41,17,1,1,12,5.525025933,2015-12,9
2016-01-01,9115988200,2016-01-01T00:00:00,52,16,2,1,12,-0.203674099,2016-01,27
2016-02-01,8738144100,2016-02-01T00:00:00,62,20,2,1,12,-4.144850692,2016-02,54
2016-03-01,9237308700,2016-03-01T00:00:00,89,28,5,2,11,5.712478466,2016-03,76
2016-04-01,8734040430,2016-04-01T00:00:00,166,120,18,5,8,-5.448213179,2016-04,204
2016-05-01,8680566600,2016-05-01T00:00:00,173,81,16,8,9,-0.612246193,2016-05,180
2016-06-01,8354547500,2016-06-01T00:00:00,242,138,18,10,9,-3.755735254,2016-06,167
2016-07-01,8775596400,2016-07-01T00:00:00,157,59,18,5,8,5.03975709,2016-07,107
2016-08-01,8925258400,2016-08-01T00:00:00,106,24,5,3,5,1.705433946,2016-08,71
2016-09-01,8581672500,2016-09-01T00:00:00,74,5,2,1,3,-3.849590506,2016-09,26
2016-10-01,8727082000,2016-10-01T00:00:00,22,2,1,0,2,1.694419124,2016-10,11
2016-11-01,8621788200,2016-11-01T00:00:00,22,3,1,0,2,-1.206517826,2016-11,13
2016-12-01,8924453700,2016-12-01T00:00:00,16,5,2,0,2,3.510472456,2016-12,10
2017-01-01,9083690900,2017-01-01T00:00:00,17,7,1,0,2,1.784279524,2017-01,3
2017-02-01,8197831400,2017-02-01T00:00:00,18,5,2,1,2,-9.752197755,2017-02,1
2017-03-01,9278660300,2017-03-01T00:00:00,23,5,2,0,2,13.18432702,2017-03,17
2017-04-01,8999862900,2017-04-01T00:00:00,75,35,4,4,3,-3.004716101,2017-04,32
2017-05-01,9039225300,2017-05-01T00:00:00,227,83,15,7,4,0.437366663,2017-05,205
2017-06-01,8838860700,2017-06-01T00:00:00,119,46,18,8,4,-2.216612523,2017-06,112
2017-07-01,9262628300,2017-07-01T00:00:00,192,58,12,3,5,4.79436903,2017-07,143
2017-08-01,8968245300,2017-08-01T00:00:00,161,67,13,5,13,-3.178179999,2017-08,117
2017-09-01,8870063200,2017-09-01T00:00:00,54,15,4,4,13,-1.094774917,2017-09,74
2017-10-01,9143094400,2017-10-01T00:00:00,35,20,3,4,9,3.07812012,2017-10,58
2017-11-01,9217832900,2017-11-01T00:00:00,12,8,1,3,7,0.817431131,2017-11,0
2017-12-01,9544256300,2017-12-01T00:00:00,14,6,2,3,3,3.541216287,2017-12,10
2018-01-01,9491330700,2018-01-01T00:00:00,16,7,4,0,3,-0.554528277,2018-01,5
2018-02-01,8532434000,2018-02-01T00:00:00,21,9,4,0,3,-10.10286893,2018-02,14
2018-03-01,9505107100,2018-03-01T00:00:00,28,10,4,0,3,11.39971431,2018-03,20
2018-04-01,9064061100,2018-04-01T00:00:00,69,46,13,0,3,-4.640095007,2018-04,79
2018-05-01,9002809000,2018-05-01T00:00:00,267,131,32,6,13,-0.675768834,2018-05,260
2018-06-01,8641039600,2018-06-01T00:00:00,196,99,38,8,13,-4.018405811,2018-06,230
2018-07-01,9063169900,2018-07-01T00:00:00,112,38,17,7,14,4.885179556,2018-07,118
2018-08-01,9210779400,2018-08-01T00:00:00,110,40,17,4,11,1.628674091,2018-08,63
2018-09-01,8782362900,2018-09-01T00:00:00,45,11,3,1,9,-4.651251337,2018-09,18
2018-10-01,9136385700,2018-10-01T00:00:00,32,22,4,2,5,4.031065489,2018-10,55
2018-11-01,8990459900,2018-11-01T00:00:00,11,11,2,2,6,-1.597193954,2018-11,8
2018-12-01,9486306000,2018-12-01T00:00:00,17,11,4,2,5,5.515247335,2018-12,17
2019-01-01,9253893800,2019-01-01T00:00:00,52,13,4,0,2,-2.449975786,2019-01,6
2019-02-01,7981058100,2019-02-01T00:00:00,52,12,4,0,2,-13.75459593,2019-02,12
2019-03-01,9223366400,2019-03-01T00:00:00,66,17,5,0,1,15.56570926,2019-03,36
2019-04-01,8877068800,2019-04-01T00:00:00,135,66,8,0,2,-3.754568397,2019-04,114
2019-05-01,8937726600,2019-05-01T00:00:00,189,94,21,5,7,0.683308887,2019-05,261
2019-06-01,8352580300,2019-06-01T00:00:00,116,44,18,6,8,-6.546925479,2019-06,111
2019-07-01,8737534900,2019-07-01T00:00:00,98,58,26,11,15,4.608810525,2019-07,72
2019-08-01,8702985600,2019-08-01T00:00:00,74,4,2,5,11,-0.395412441,2019-08,36
2019-09-01,8263800200,2019-09-01T00:00:00,20,4,2,0,5,-5.046376269,2019-09,24
2019-10-01,8818772900,2019-10-01T00:00:00,14,5,2,0,3,6.715708107,2019-10,24
2019-11-01,8749348900,2019-11-01T00:00:00,4,0,1,0,3,-0.787229706,2019-11,2
2019-12-01,9157734000,2019-12-01T00:00:00,3,0,1,0,3,4.667605609,2019-12,0
2020-01-01,8692327800,2020-01-01T00:00:00,9,0,1,0,3,-5.082110924,2020-01,6
2020-02-01,8359921400,2020-02-01T00:00:00,10,0,1,0,3,-3.824135579,2020-02,1
2020-03-01,8779060200,2020-03-01T00:00:00,15,0,1,0,3,5.013669148,2020-03,4
2020-04-01,8314961900,2020-04-01T00:00:00,56,15,1,0,3,-5.286423483,2020-04,68
2020-05-01,8397966800,2020-05-01T00:00:00,137,62,8,1,4,0.998259535,2020-05,177
2020-06-01,8048516199,2020-06-01T00:00:00,63,19,3,0,3,-4.161133395,2020-06,92
2020-07-01,8263358899,2020-07-01T00:00:00,73,7,4,0,3,2.669345438,2020-07,86
2020-08-01,8286585600,2020-08-01T00:00:00,167,12,4,0,3,0.281080627,2020-08,162
2020-09-01,7894861600,2020-09-01T00:00:00,74,12,3,0,3,-4.727206342,2020-09,67
2020-10-01,8525690900,2020-10-01T00:00:00,35,14,5,0,3,7.990378197,2020-10,20
2020-11-01,8409946300,2020-11-01T00:00:00,13,5,3,0,1,-1.357597893,2020-11,45
2020-12-01,8747490200,2020-12-01T00:00:00,10,4,2,0,1,4.013627293,2020-12,12
2021-01-01,8678140300,2021-01-01T00:00:00,18,4,2,0,2,-0.792797687,2021-01,32
2021-02-01,7596222700,2021-02-01T00:00:00,26,3,2,0,2,-12.46715958,2021-02,48
2021-03-01,8859956200,2021-03-01T00:00:00,43,12,3,0,2,16.63634085,2021-03,83
2021-04-01,8620962500,2021-04-01T00:00:00,85,62,12,2,3,-2.697459159,2021-04,127
2021-05-01,8749015900,2021-05-01T00:00:00,171,91,16,2,3,1.485372428,2021-05,174
2021-06-01,8382386300,2021-06-01T00:00:00,112,55,11,3,4,-4.190523874,2021-06,216
2021-07-01,8845650800,2021-07-01T00:00:00,237,106,30,15,13,5.526642216,2021-07,268
2021-08-01,8976377300,2021-08-01T00:00:00,115,57,17,14,11,1.477861866,2021-08,124
2021-09-01,8522006000,2021-09-01T00:00:00,76,20,2,5,8,-5.061856079,2021-09,76
2021-10-01,9007992400,2021-10-01T00:00:00,45,18,5,4,8,5.702723044,2021-10,61
