Month,Gas Plant Frac,Gas Plant Sweet,Gp Acid Gas Flaring,Gp Acid Gas Flaring%,Gp Acid Gas Inj,Gp Mainline Strdle,Gp Sulphur Rcvry
2014-08,0.0,31954.68,4255.0,1756.0,2800.0,0.0,510.0
2014-09,0.0,13291.17,1816.6,224.0,1198.0,0.0,0.0
2014-10,0.0,10790.8,1434.6,302.0,150.0,0.0,0.0
2014-11,0.0,6185.97,1135.0,164.0,600.0,0.0,0.0
2014-12,0.0,850.2,0.0,0.0,0.0,0.0,0.0
2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,0.0,902.8,155.0,0.0,0.0,0.0,0.0
2015-03,0.0,9943.27,251.0,1612.0,0.0,0.0,566.0
2015-04,0.1,25411.85,1388.0,1709.5,1212.0,0.0,1076.0
2015-05,0.1,40222.47,4525.8,2310.5,2654.1,0.0,1208.0
2015-06,0.1,24366.12,5146.6,2004.0,1633.0,0.0,0.0
2015-07,0.0,35925.27,4449.7,1063.0,2602.0,0.0,1152.0
2015-08,0.0,25339.97,1575.0,614.0,762.0,0.0,0.0
2015-09,0.0,6115.0,348.1,566.0,150.0,0.0,0.0
2015-10,0.0,7183.37,1757.6,964.0,783.0,0.0,0.0
2015-11,0.0,4965.07,266.0,850.0,0.0,0.0,0.0
2015-12,0.0,280.0,1485.0,0.0,0.0,0.0,0.0
2016-01,0.0,2152.77,0.0,850.0,0.0,0.0,0.0
2016-02,0.0,10693.64,600.0,1016.0,612.0,0.0,510.0
2016-03,0.1,12992.75,719.6,484.0,600.0,0.0,566.0
2016-04,0.0,31661.05,2107.0,2286.0,1212.0,0.0,566.0
2016-05,0.0,28369.5,2473.7,2090.0,1493.1,0.0,642.0
2016-06,0.0,19797.87,3185.6,710.0,1960.0,0.0,566.0
2016-07,0.0,13762.37,2561.7,0.0,3081.1,0.0,0.0
2016-08,0.0,11142.9,665.0,162.0,600.0,0.0,0.0
2016-09,0.0,3572.8,355.0,450.0,0.0,0.0,0.0
2016-10,0.0,2184.0,0.0,0.0,0.0,0.0,0.0
2016-11,0.0,1730.4,0.0,740.0,0.0,0.0,0.0
2016-12,0.0,1738.9,66.5,97.5,990.0,0.0,0.0
2017-01,0.0,280.0,0.0,0.0,0.0,0.0,0.0
2017-03,0.0,4167.63,330.0,0.0,0.0,0.0,0.0
2017-04,0.0,1831.5,898.6,0.0,0.0,0.0,0.0
2017-05,0.1,33383.82,2839.7,1556.0,893.1,0.0,510.0
2017-06,0.0,14934.4,1681.1,224.0,1643.1,0.0,0.0
2017-07,0.0,23489.97,3316.7,1388.0,1841.1,0.0,566.0
2017-08,0.0,15737.18,1977.6,0.0,2316.1,0.0,1117.0
2017-09,0.0,9572.63,1122.6,1164.0,281.1,0.0,566.0
2017-10,0.0,7334.5,200.0,0.0,0.0,0.0,0.0
2017-12,0.0,1739.8,0.0,740.0,0.0,0.0,0.0
2018-01,0.0,400.0,400.0,0.0,612.0,0.0,0.0
2018-02,0.0,2916.05,0.0,164.0,0.0,0.0,0.0
2018-03,0.0,3119.8,205.0,850.0,600.0,0.0,0.0
2018-04,0.0,10514.7,1982.6,566.0,612.0,0.0,0.0
2018-05,0.0,36862.22,3625.3,2390.0,893.1,0.0,1208.0
2018-06,0.1,38549.69,3315.5,771.5,1810.0,0.0,1152.0
2018-07,0.0,17850.87,50.0,1354.0,250.0,0.0,0.0
2018-08,0.0,7598.9,281.1,450.0,281.1,0.0,0.0
2018-09,0.0,4259.0,400.0,0.0,400.0,0.0,0.0
2018-10,0.0,6293.3,1689.2,164.0,612.0,0.0,0.0
2018-11,0.0,1568.0,0.0,0.0,0.0,0.0,0.0
2018-12,0.0,5085.17,426.0,0.0,0.0,0.0,510.0
2019-01,0.0,337.8,155.0,0.0,0.0,0.0,0.0
2019-02,0.0,2099.0,510.0,0.0,0.0,0.0,0.0
2019-03,0.0,3792.8,910.0,740.0,612.0,0.0,0.0
2019-04,0.0,17884.6,1098.6,820.0,612.0,0.0,510.0
2019-05,0.0,38288.97,4972.6,3240.0,1962.0,0.0,566.0
2019-06,0.0,13214.3,3538.1,0.0,2412.1,0.0,0.0
2019-07,0.0,11935.6,2477.0,70.0,2950.0,0.0,642.0
2019-08,0.0,6462.6,555.0,0.0,612.0,0.0,0.0
2019-09,0.0,3560.8,0.0,740.0,0.0,0.0,0.0
2019-10,0.0,2765.0,400.0,0.0,612.0,0.0,0.0
2019-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,0.0,146.0,0.0,162.0,0.0,0.0,0.0
2020-02,0.0,424.9,0.0,0.0,0.0,0.0,0.0
2020-03,0.0,283.2,0.0,0.0,0.0,0.0,0.0
2020-04,0.0,10171.83,1013.0,224.0,400.0,0.0,0.0
2020-05,0.0,26342.91,3291.2,1386.0,2202.0,0.0,566.0
2020-06,0.0,14053.43,885.0,2606.0,1810.0,0.0,642.0
2020-07,0.0,12489.43,1713.2,1263.0,881.1,0.0,0.0
2020-08,0.0,21249.77,1075.0,1500.0,600.0,0.0,510.0
2020-09,0.0,16609.15,280.0,140.0,0.0,0.0,0.0
2020-10,0.0,1384.0,455.0,679.6,0.0,0.0,642.0
2020-11,0.0,7125.6,50.0,0.0,600.0,0.0,642.0
2020-12,0.0,2170.0,0.0,0.0,0.0,0.0,0.0
2021-01,0.0,6588.35,114.0,170.0,0.0,0.0,0.0
2021-02,0.0,5041.6,1277.1,836.0,281.1,0.0,0.0
2021-03,0.0,14351.25,738.0,1074.0,0.0,0.0,566.0
2021-04,0.0,20005.27,1930.6,1686.0,0.0,0.0,0.0
2021-05,0.1,25646.22,3987.7,1516.0,893.1,0.0,1076.0
2021-06,0.0,31124.59,2803.7,2477.0,2033.1,0.0,1152.0
2021-07,0.0,38756.06,2559.1,3230.0,2998.1,0.0,1152.0
2021-08,0.0,20494.18,2036.2,213.0,1548.0,0.0,0.0
2021-09,0.0,12024.3,757.1,364.0,281.1,0.0,642.0
2021-10,0.0,12091.64,1604.0,983.0,0.0,0.0,0.0
