Reporting Facility ID,Facility Subtype,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
ABGP0103480,Gp Acid Gas Flaring,02/12-29-091-12W5,56.924768,-115.904068,MBOG SAWN LAKE 12-29-91-12W5 GP,SAWN LAKE,0YK4,Surge Energy Inc.,F38601    ,Amended,"Jul 16, 2012",0YK4,Surge Energy Inc.,C300,"Sep 19, 2007","Oct 30, 2014","Regenerative, Acid Gas Flaring",85,70.8, ,0, , ,90,0,0.58, ,0.58, ,"Jul 01, 2009","Dec 01, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABGP0104350,Gas Plant Sweet,00/13-19-032-01W4,51.765282,-110.146552,PENNWEST ESTHER,ESTHER,0BP8,Obsidian Energy Ltd.,F23737    ,Amended,"Feb 13, 2018",0BP8,Obsidian Energy Ltd.,B010,"May 01, 2001","Feb 13, 2018", ,453,435.1,0,0,0,0,40,0,0, , , ,"Oct 01, 2009","Dec 01, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0104557,Gp Acid Gas Flaring,04/12-30-036-04W4,52.122821,-110.572528,SOUNDING LAKE 12-30 GAS PLANT,PROVOST,0YK4,Surge Energy Inc.,F40715    ,Issued,"Apr 28, 2009",0YK4,Surge Energy Inc.,C300,"Apr 28, 2009", ,"Regenerative, Acid Gas Flaring",21.06,11.14, , , , , , ,0.99, ,0.99, ,"Oct 01, 2009","Dec 01, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0105487,Gas Plant Sweet,00/11-31-111-04W6,58.683357,-118.666297,PENNWEST SOUSA,RAINBOW,0BP8,Obsidian Energy Ltd.,F18053    ,Amended,"Dec 08, 2009",0BP8,Obsidian Energy Ltd.,B010,"Feb 16, 2001","Dec 08, 2009", ,105,105,0,0,0,0,0.2,0,0, , , ,"Dec 01, 2009","Mar 01, 2019",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
ABGP0105488,Gas Plant Sweet,00/11-33-104-05W6,58.073125,-118.763643,PENNWEST HARO,HARO,0BP8,Obsidian Energy Ltd.,F17780    ,Amended,"Dec 10, 2009",0BP8,Obsidian Energy Ltd.,B010,"May 01, 2001","Dec 10, 2009", ,70,70,0,0,0,0,1,0,0, , , ,"Dec 01, 2009","Mar 01, 2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0105489,Gas Plant Sweet,00/12-23-107-06W6,58.304613,-118.888765,PENNWEST LENNARD,RAINBOW,0BP8,Obsidian Energy Ltd.,F28629    ,Issued,"Mar 20, 2003",0BP8,Obsidian Energy Ltd.,B010,"Mar 20, 2003","Aug 26, 2006", ,283,268, , , , , ,6.5,0, , , ,"Dec 01, 2009","Feb 01, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0106663,Gp Acid Gas Inj,03/03-22-078-12W6,55.7686,-119.7748,PCS 03-22-078-12W6 GP ABGP 0106663,POUCE COUPE SOUTH,A12R,Birchcliff Energy Ltd.,F40702    ,Amended,"May 12, 2023",A12R,Birchcliff Energy Ltd.,D400,"Apr 17, 2009","May 12, 2023","Regenerative, Acid Gas Injection","9,617.50",9236.8, , , , ,650,1564.8,195.3, ,0,98.3,"Mar 01, 2010","Dec 01, 2023",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABGP0106720,Gas Plant Frac,00/09-27-031-04W5,51.685831,-114.474279,HARMATTAN FRACTIONATION,HARMATTAN-ELKTON,A0TK,AltaGas Ltd.,F4285     ,Amended,"Sep 07, 2022",A0TK,AltaGas Ltd.,D400,"May 01, 2001","Sep 07, 2022","Regenerative, Acid Gas Injection, Acid Gas Flaring","13,897.60",11224,3922.2,0,2475.9,1376.7,1907.8,1751,49.99, ,0.04,95.9,"Jan 01, 2012","Dec 01, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0106875,Gas Plant Sweet,02/11-21-033-27W4,51.845881,-113.772367,981384 WIMBORNE 11-21-33-27W4 GP,STEWART,A1H9,Ember Resources Inc.,F35093    ,Amended,"Nov 12, 2008",A1H9,Ember Resources Inc.,B010,"Nov 11, 2005","Nov 12, 2008", ,566,565.2,0,0,0,0,5.3,0,0, , , ,"Feb 01, 2010","Dec 01, 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABGP0107835,Gp Acid Gas Inj,00/05-02-076-12W6,55.55405,-119.7554,AAV Glacier 05-02-076-12W6 GP,POUCE COUPE SOUTH,0TD9,Advantage Energy Ltd.,F40420    ,Amended,"Sep 25, 2023",0TD9,Advantage Energy Ltd.,D400,"Jan 09, 2009","Sep 25, 2023","Regenerative, Acid Gas Injection","12,035.00",11250, , , , ,550,600,49.68, ,0,95.9,"Mar 01, 2010","Dec 01, 2023",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
