Month,Value,A,B,C,D,E,prod_%_diff,Affected_Plants_Count,Gas Plant Frac,Gas Plant Sweet,Gp Acid Gas Flaring,Gp Acid Gas Flaring%,Gp Acid Gas Inj,Gp Mainline Strdle,Gp Sulphur Rcvry,Avg Capacity (1000 m3/d),Year
5,8545923100,247,101,18,2,1,0.391327813,74.0,0.1,15093.25,1517.6,73.0,612.0,0.0,0.0,0.0,2014
6,8047224700,185,86,15,1,1,-5.835512374,169.0,0.0,24606.14,4156.6,1026.0,612.0,0.0,0.0,0.0,2014
7,8692806300,210,100,24,1,5,8.022412994,151.0,0.0,22456.08,3426.7,162.0,1506.1,0.0,1117.0,15796840.3,2014
8,8776658000,212,64,19,2,6,0.964610243,176.0,0.0,23058.5,4271.7,0.0,2916.1,0.0,985.0,0.0,2014
9,8184310800,105,18,5,2,5,-6.749120223,193.0,0.0,31954.68,4255.0,1756.0,2800.0,0.0,510.0,15796840.3,2014
10,9000472000,36,15,7,2,4,9.972265472,94.0,0.0,13291.17,1816.6,224.0,1198.0,0.0,0.0,0.0,2014
11,8653529300,29,11,4,2,4,-3.85471673,63.0,0.0,10790.8,1434.6,302.0,150.0,0.0,0.0,0.0,2014
12,9153477100,18,7,2,0,4,5.777386112,38.0,0.0,6185.97,1135.0,164.0,600.0,0.0,0.0,0.0,2014
1,9016730800,23,8,1,0,4,-1.493927373,4.0,0.0,850.2,0.0,0.0,0.0,0.0,0.0,0.0,2015
2,8247773500,30,7,1,0,4,-8.528116421,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
3,9090941400,49,17,3,0,4,10.22297593,7.0,0.0,902.8,155.0,0.0,0.0,0.0,0.0,0.0,2015
4,8848310212,152,123,21,1,4,-2.668933583,80.0,0.0,9943.27,251.0,1612.0,0.0,0.0,566.0,52159197.0,2015
5,8770126100,314,141,29,13,15,-0.883605006,180.0,0.1,25411.85,1388.0,1709.5,1212.0,0.0,1076.0,0.0,2015
6,8510411400,244,150,47,26,55,-2.961356508,293.0,0.1,40222.47,4525.8,2310.5,2654.1,0.0,1208.0,0.0,2015
7,8751321400,224,105,35,29,58,2.83076797,191.0,0.1,24366.12,5146.6,2004.0,1633.0,0.0,0.0,0.0,2015
8,8602924900,134,30,8,16,44,-1.69570392,241.0,0.0,35925.27,4449.7,1063.0,2602.0,0.0,1152.0,0.0,2015
9,8347117600,43,31,3,1,28,-2.97349219,142.0,0.0,25339.97,1575.0,614.0,762.0,0.0,0.0,0.0,2015
10,8756993300,49,34,6,0,27,4.910386071,44.0,0.0,6115.0,348.1,566.0,150.0,0.0,0.0,0.0,2015
11,8656328600,39,14,4,1,27,-1.149534967,54.0,0.0,7183.37,1757.6,964.0,783.0,0.0,0.0,0.0,2015
12,9134593000,41,17,1,1,12,5.525025933,38.0,0.0,4965.07,266.0,850.0,0.0,0.0,0.0,0.0,2015
1,9115988200,52,16,2,1,12,-0.203674099,9.0,0.0,280.0,1485.0,0.0,0.0,0.0,0.0,0.0,2016
2,8738144100,62,20,2,1,12,-4.144850692,27.0,0.0,2152.77,0.0,850.0,0.0,0.0,0.0,0.0,2016
3,9237308700,89,28,5,2,11,5.712478466,54.0,0.0,10693.64,600.0,1016.0,612.0,0.0,510.0,0.0,2016
4,8734040430,166,120,18,5,8,-5.448213179,76.0,0.1,12992.75,719.6,484.0,600.0,0.0,566.0,0.0,2016
5,8680566600,173,81,16,8,9,-0.612246193,204.0,0.0,31661.05,2107.0,2286.0,1212.0,0.0,566.0,0.0,2016
6,8354547500,242,138,18,10,9,-3.755735254,180.0,0.0,28369.5,2473.7,2090.0,1493.1,0.0,642.0,6510108.15,2016
7,8775596400,157,59,18,5,8,5.03975709,167.0,0.0,19797.87,3185.6,710.0,1960.0,0.0,566.0,15796840.3,2016
8,8925258400,106,24,5,3,5,1.705433946,107.0,0.0,13762.37,2561.7,0.0,3081.1,0.0,0.0,15796840.3,2016
9,8581672500,74,5,2,1,3,-3.849590506,71.0,0.0,11142.9,665.0,162.0,600.0,0.0,0.0,0.0,2016
10,8727082000,22,2,1,0,2,1.694419124,26.0,0.0,3572.8,355.0,450.0,0.0,0.0,0.0,0.0,2016
11,8621788200,22,3,1,0,2,-1.206517826,11.0,0.0,2184.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
12,8924453700,16,5,2,0,2,3.510472456,13.0,0.0,1730.4,0.0,740.0,0.0,0.0,0.0,0.0,2016
1,9083690900,17,7,1,0,2,1.784279524,10.0,0.0,1738.9,66.5,97.5,990.0,0.0,0.0,0.0,2017
2,8197831400,18,5,2,1,2,-9.752197755,3.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
3,9278660300,23,5,2,0,2,13.18432702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
4,8999862900,75,35,4,4,3,-3.004716101,17.0,0.0,4167.63,330.0,0.0,0.0,0.0,0.0,0.0,2017
5,9039225300,227,83,15,7,4,0.437366663,32.0,0.0,1831.5,898.6,0.0,0.0,0.0,0.0,0.0,2017
6,8838860700,119,46,18,8,4,-2.216612523,205.0,0.1,33383.82,2839.7,1556.0,893.1,0.0,510.0,15796840.3,2017
7,9262628300,192,58,12,3,5,4.79436903,112.0,0.0,14934.4,1681.1,224.0,1643.1,0.0,0.0,0.0,2017
8,8968245300,161,67,13,5,13,-3.178179999,143.0,0.0,23489.97,3316.7,1388.0,1841.1,0.0,566.0,0.0,2017
