"Agency Fire ID","Agency Code","Agency Data Timezone","Situation Report Date","Status Date","Stage of Control Status","National Fire Cause","Response Type","Fire Size","Latitude","Longitude"
"EWF-039-2023","ab","MST","2023-05-05 22:51","2023-12-31 17:59","UC","H","FUL","165.0","53.47062","-115.87072"
"EWF-040-2023","ab","MST","2023-05-06 12:07","2023-12-31 17:59","UC","N","FUL","12,073.4","53.93558","-117.77617"
"EWF-076-2023","ab","MST","2023-07-24 18:19","2023-12-31 17:59","UC","N","FUL","71.6","52.99753","-116.42212"
"MWF-021-2023","ab","MST","2023-05-27 20:40","2023-12-31 17:59","UC","N","FUL","14,760.0","57.69392","-113.29625"
"HWF-058-2023","ab","MST","2023-06-04 20:03","2023-12-31 17:59","BH","N","FUL","234,061.0","58.16715","-118.41965"
"HWF-064-2023","ab","MST","2023-06-09 16:47","2023-12-31 17:59","UC","N","FUL","6,175.0","59.28383","-119.06680"
"HWF-072-2023","ab","MST","2023-06-23 20:48","2023-12-31 17:59","UC","N","FUL","30,123.0","57.69283","-116.01983"
"HWF-102-2023","ab","MST","2023-07-03 11:31","2023-12-31 17:59","UC","N","FUL","1,166.5","58.72110","-115.85917"
"HWF-112-2023","ab","MST","2023-07-04 20:57","2023-12-31 17:59","BH","N","FUL","57,412.0","59.22500","-114.40410"
"HWF-130-2023","ab","MST","2023-07-13 16:50","2023-12-31 17:59","UC","N","FUL","5,555.0","59.46617","-119.95070"
"HWF-159-2023","ab","MST","2023-09-19 17:19","2023-12-31 17:59","UC","N","FUL","12,060.0","59.68462","-119.68437"
"MWF-025-2023","ab","MST","2023-05-28 13:30","2023-12-31 17:59","UC","N","FUL","105,251.0","58.86705","-111.14582"
"MWF-023-2023","ab","MST","2023-05-28 12:15","2023-12-31 17:59","UC","N","FUL","59,444.0","57.97628","-113.21492"
"MWF-030-2023","ab","MST","2023-06-04 11:25","2023-12-31 17:59","UC","N","FUL","7.4","59.24662","-110.95282"
"MWF-038-2023","ab","MST","2023-06-29 15:01","2023-12-31 17:59","UC","N","FUL","569.0","57.46017","-113.39017"
"MWF-039-2023","ab","MST","2023-06-29 15:10","2023-12-31 17:59","UC","N","FUL","15,200.0","57.42167","-113.40067"
"MWF-041-2023","ab","MST","2023-06-29 16:48","2023-12-31 17:23","UC","N","FUL","100.0","57.47950","-113.25833"
"MWF-043-2023","ab","MST","2023-06-30 12:54","2023-12-31 17:59","UC","N","FUL","130,805.0","59.76240","-111.14903"
"MWF-048-2023","ab","MST","2023-07-03 17:38","2023-12-31 17:59","UC","N","FUL","3,366.0","57.84150","-113.26283"
"WWF-023-2023","ab","MST","2023-05-05 15:03","2023-12-31 17:59","UC","N","FUL","66,436.7","54.38893","-116.37158"
"GWF-002-2024","ab","MST","2024-02-20 12:05","2024-02-20 05:05","UC","U","FUL","0.1","54.49180","-119.15742"
"SWF-002-2024","ab","MST","2024-02-22 14:08","2024-02-22 07:08","UC","H","FUL","0.1","55.94523","-113.77733"
"GWF-018-2023","ab","MST","2023-05-05 14:25","2023-12-31 17:59","UC","H","FUL","49,327.7","56.28182","-119.16163"
"HWF-036-2023","ab","MST","2023-05-03 17:26","2024-01-30 04:00","UC","U","FUL","203,022.0","58.49060","-119.40310"
"PWF-144-2023","ab","MST","2023-10-20 17:10","2024-02-01 12:00","UC","H","FUL","0.4","56.61220","-117.07840"
"LWF-004-2024","ab","MST","2024-01-31 15:25","2024-01-31 08:25","UC","H","FUL","0.1","54.67448","-111.86383"
"PWF-149-2023","ab","MST","2023-11-02 11:58","2024-01-10 06:01","UC","H","FUL","52.5","57.56307","-117.17962"
"WWF-059-2023","ab","MST","2023-11-20 10:50","2023-12-31 17:59","UC","H","FUL","5.9","54.19294","-115.85244"
"HWF-087-2023","ab","MST","2023-06-30 17:30","2024-02-09 05:40","UC","N","FUL","12,508.0","58.15812","-114.18293"
"HWF-065-2023","ab","MST","2023-06-10 16:30","2024-02-09 06:16","UC","N","FUL","1,425.0","57.55283","-114.92492"
"EWF-003-2024","ab","MST","2024-02-12 13:15","2024-02-12 06:15","UC","U","FUL","0.1","53.74745","-116.34444"
"HWF-083-2023","ab","MST","2023-06-30 15:35","2024-02-16 04:21","UC","N","FUL","13,700.0","57.79945","-114.77480"
