Agency Fire ID,Agency Code,Agency Data Timezone,Situation Report Date,Status Date,Stage of Control Status,National Fire Cause,Response Type,Fire Size,Latitude,Longitude,Class,2024.Feb
MWF-048-2023,ab,MST,2023-07-03 17:38,2023-12-31 17:59,UC,N,FUL,3366.0,57.8415,-113.26283,E,1
WWF-023-2023,ab,MST,2023-05-05 15:03,2023-12-31 17:59,UC,N,FUL,66436.7,54.38893,-116.37158,E,1
GWF-002-2024,ab,MST,2024-02-20 12:05,2024-02-20 05:05,UC,U,FUL,0.1,54.4918,-119.15742,A,1
SWF-002-2024,ab,MST,2024-02-22 14:08,2024-02-22 07:08,UC,H,FUL,0.1,55.94523,-113.77733,A,1
GWF-018-2023,ab,MST,2023-05-05 14:25,2023-12-31 17:59,UC,H,FUL,49327.7,56.28182,-119.16163,E,1
HWF-036-2023,ab,MST,2023-05-03 17:26,2024-01-30 04:00,UC,U,FUL,203022.0,58.4906,-119.4031,E,1
PWF-144-2023,ab,MST,2023-10-20 17:10,2024-02-01 12:00,UC,H,FUL,0.4,56.6122,-117.0784,B,1
LWF-004-2024,ab,MST,2024-01-31 15:25,2024-01-31 08:25,UC,H,FUL,0.1,54.67448,-111.86383,A,1
PWF-149-2023,ab,MST,2023-11-02 11:58,2024-01-10 06:01,UC,H,FUL,52.5,57.56307,-117.17962,D,1
WWF-059-2023,ab,MST,2023-11-20 10:50,2023-12-31 17:59,UC,H,FUL,5.9,54.19294,-115.85244,C,1
HWF-087-2023,ab,MST,2023-06-30 17:30,2024-02-09 05:40,UC,N,FUL,12508.0,58.15812,-114.18293,E,1
HWF-065-2023,ab,MST,2023-06-10 16:30,2024-02-09 06:16,UC,N,FUL,1425.0,57.55283,-114.92492,E,1
EWF-003-2024,ab,MST,2024-02-12 13:15,2024-02-12 06:15,UC,U,FUL,0.1,53.74745,-116.34444,A,1
HWF-083-2023,ab,MST,2023-06-30 15:35,2024-02-16 04:21,UC,N,FUL,13700.0,57.79945,-114.7748,E,1
